"","n_pokoj","metraz","cena_m2","rok","pietro","pietro_maks","dzielnica","cena","kat_cenowa"
"524",2,48.1,5301,1980,0,0,"Fabryczna",254978.1,"2. tanie"
"525",2,54,4981,1930,3,4,"Krzyki",268974,"1. bardzo tanie"
"526",3,100,4850,1930,0,0,"Krzyki",485000,"1. bardzo tanie"
"527",4,112,3839,1930,1,4,"Srodmiescie",429968,"1. bardzo tanie"
"528",2,41,6829,1980,2,3,"Krzyki",279989,"4. bardzo drogie"
"529",2,49,5816,1930,5,5,"Fabryczna",284984,"3. drogie"
"530",3,49,6327,1977,1,4,"Stare Miasto",310023,"3. drogie"
"531",3,65.4,5657,2000,1,2,"Krzyki",369967.8,"2. tanie"
"532",4,82,4939,1990,4,6,"Fabryczna",404998,"1. bardzo tanie"
"533",3,62.5,5904,1996,3,4,"Fabryczna",369000,"3. drogie"
"534",2,51.5,5301,1978,6,11,"Psie Pole",273001.5,"2. tanie"
"535",3,49,6531,1980,11,11,"Fabryczna",320019,"3. drogie"
"536",4,64.5,6744,1980,3,12,"Srodmiescie",434988,"4. bardzo drogie"
"537",3,49,5918,1970,6,8,"Stare Miasto",289982,"3. drogie"
"538",1,40,7175,1960,3,4,"Stare Miasto",287000,"4. bardzo drogie"
"539",3,64.4,5435,1981,1,3,"Fabryczna",350014,"2. tanie"
"540",2,50,6500,1920,0,0,"Psie Pole",325000,"3. drogie"
"541",3,70.5,5376,2007,0,0,"Fabryczna",379008,"2. tanie"
"542",1,32,6094,1930,4,5,"Srodmiescie",195008,"3. drogie"
"543",1,24.6,7114,1950,1,1,"Fabryczna",175004.4,"4. bardzo drogie"
"544",3,55.74,6459,1970,3,4,"Stare Miasto",360024.66,"3. drogie"
"545",1,26,6538,1970,10,11,"Fabryczna",169988,"3. drogie"
"546",2,45,6222,1963,0,0,"Srodmiescie",279990,"3. drogie"
"547",3,50,6800,2008,1,4,"Krzyki",340000,"4. bardzo drogie"
"548",2,54,4444,1930,4,5,"Srodmiescie",239976,"1. bardzo tanie"
"549",2,47.1,6350,2018,1,3,"Srodmiescie",299085,"3. drogie"
"550",2,47.1,6200,2018,0,0,"Srodmiescie",292020,"3. drogie"
"551",2,39.1,5940,2018,0,0,"Srodmiescie",232254,"3. drogie"
"552",2,47.7,6300,2018,1,3,"Srodmiescie",300510,"3. drogie"
"553",2,49.69,5937,2009,4,6,"Psie Pole",295009.53,"3. drogie"
"554",2,38.8,7191,2002,0,0,"Krzyki",279010.8,"4. bardzo drogie"
"555",3,51.7,6112,1930,3,4,"Fabryczna",315990.4,"3. drogie"
"556",2,47,7213,1970,1,4,"Srodmiescie",339011,"4. bardzo drogie"
"557",3,64.24,7098,2010,0,0,"Fabryczna",455975.52,"4. bardzo drogie"
"558",2,62.36,5051,1930,1,2,"Psie Pole",314980.36,"1. bardzo tanie"
"559",3,63.43,6858,1995,1,4,"Psie Pole",435002.94,"4. bardzo drogie"
"560",3,66,4697,1905,2,4,"Srodmiescie",310002,"1. bardzo tanie"
"561",2,51,5000,1910,1,4,"Srodmiescie",255000,"1. bardzo tanie"
"562",3,71,4718,1920,0,0,"Srodmiescie",334978,"1. bardzo tanie"
"563",3,66.7,5172,1940,1,2,"Srodmiescie",344972.4,"1. bardzo tanie"
"564",3,66.7,5172,1940,1,2,"Psie Pole",344972.4,"1. bardzo tanie"
"565",2,61.34,4711,1920,2,4,"Srodmiescie",288972.74,"1. bardzo tanie"
"566",3,83,6566,1936,1,2,"Psie Pole",544978,"3. drogie"
"567",2,41,5488,1950,2,2,"Krzyki",225008,"2. tanie"
"568",3,68,7059,2013,0,0,"Krzyki",480012,"4. bardzo drogie"
"569",3,47.8,6255,2011,2,2,"Krzyki",298989,"3. drogie"
"570",3,56,6339,2011,0,0,"Krzyki",354984,"3. drogie"
"571",1,26,8077,2011,3,3,"Krzyki",210002,"4. bardzo drogie"
"572",3,86,5233,1925,4,5,"Srodmiescie",450038,"1. bardzo tanie"
"573",3,54.1,5786,1980,1,10,"Fabryczna",313022.6,"2. tanie"
"574",1,41,6341,1890,1,4,"Srodmiescie",259981,"3. drogie"
"575",2,46.23,11464,2017,6,6,"Stare Miasto",529980.72,"4. bardzo drogie"
"576",3,50.4,6131,2001,4,4,"Krzyki",309002.4,"3. drogie"
"577",2,46.23,11573,2017,5,6,"Stare Miasto",535019.79,"4. bardzo drogie"
"578",2,52.64,5357,2007,2,3,"Krzyki",281992.48,"2. tanie"
"579",2,56,5893,2008,1,4,"Fabryczna",330008,"3. drogie"
"580",4,79,4253,1981,4,4,"Fabryczna",335987,"1. bardzo tanie"
"581",2,47,5723,2004,3,3,"Krzyki",268981,"2. tanie"
"582",3,69,6812,2013,0,0,"Krzyki",470028,"4. bardzo drogie"
"583",3,79,5443,1993,1,6,"Stare Miasto",429997,"2. tanie"
"584",2,39,6744,2000,1,2,"Krzyki",263016,"4. bardzo drogie"
"585",2,48,5729,2016,1,3,"Krzyki",274992,"2. tanie"
"586",2,60,6583,2000,0,0,"Fabryczna",394980,"3. drogie"
"587",2,51,5667,2000,5,8,"Psie Pole",289017,"2. tanie"
"588",3,66,5848,2002,3,3,"Fabryczna",385968,"3. drogie"
"589",3,61.2,5866,2004,3,3,"Fabryczna",358999.2,"3. drogie"
"590",1,24,10375,1930,4,4,"Stare Miasto",249000,"4. bardzo drogie"
"591",2,52,5481,2003,2,2,"Fabryczna",285012,"2. tanie"
"592",2,50,5780,2001,5,5,"Psie Pole",289000,"2. tanie"
"593",1,28,16393,2016,4,6,"Stare Miasto",459004,"4. bardzo drogie"
"594",3,63.27,5216,1920,0,0,"Krzyki",330016.32,"1. bardzo tanie"
"595",1,28,15321,2016,4,6,"Stare Miasto",428988,"4. bardzo drogie"
"596",6,220.9,10900,2016,6,6,"Srodmiescie",2407810,"4. bardzo drogie"
"597",2,52,7596,2014,6,7,"Stare Miasto",394992,"4. bardzo drogie"
"598",4,105,3666,1999,1,1,"Krzyki",384930,"1. bardzo tanie"
"599",2,47.5,5242,1980,1,11,"Fabryczna",248995,"1. bardzo tanie"
"600",3,85.56,5493,1906,3,3,"Srodmiescie",469981.08,"2. tanie"
"601",1,26.6,7331,2015,0,0,"Krzyki",195004.6,"4. bardzo drogie"
"602",3,89,11180,2007,2,6,"Srodmiescie",995020,"4. bardzo drogie"
"603",3,63,5794,1930,3,3,"Srodmiescie",365022,"2. tanie"
"604",1,31,6000,2002,2,3,"Fabryczna",186000,"3. drogie"
"605",2,46,7152,2005,4,5,"Psie Pole",328992,"4. bardzo drogie"
"606",2,47,5957,2007,2,2,"Psie Pole",279979,"3. drogie"
"607",2,70,9000,1908,4,4,"Stare Miasto",630000,"4. bardzo drogie"
"608",2,65,8462,1935,3,4,"Stare Miasto",550030,"4. bardzo drogie"
"609",2,47,7234,2005,1,4,"Krzyki",339998,"4. bardzo drogie"
"610",2,45,5333,1930,0,0,"Fabryczna",239985,"2. tanie"
"611",2,46,9348,2010,1,3,"Srodmiescie",430008,"4. bardzo drogie"
"612",3,89,3876,1980,0,0,"Krzyki",344964,"1. bardzo tanie"
"613",3,72,5833,2006,1,2,"Fabryczna",419976,"3. drogie"
"614",2,47,4447,1906,0,0,"Psie Pole",209009,"1. bardzo tanie"
"615",2,65,11538,2009,3,3,"Krzyki",749970,"4. bardzo drogie"
"616",3,65,7231,2008,3,3,"Psie Pole",470015,"4. bardzo drogie"
"617",2,53,7092,1967,4,4,"Stare Miasto",375876,"4. bardzo drogie"
"618",3,54.66,7100,2017,1,4,"Krzyki",388086,"4. bardzo drogie"
"619",1,34.4,7300,2017,2,4,"Krzyki",251120,"4. bardzo drogie"
"620",2,48.71,7100,2017,1,4,"Krzyki",345841,"4. bardzo drogie"
"621",2,44.72,7100,2017,2,4,"Krzyki",317512,"4. bardzo drogie"
"622",2,44.75,7100,2017,1,4,"Krzyki",317725,"4. bardzo drogie"
"623",4,53,6208,1960,6,10,"Stare Miasto",329024,"3. drogie"
"624",3,96,10938,2007,3,5,"Stare Miasto",1050048,"4. bardzo drogie"
"625",3,50.5,6337,2006,0,0,"Fabryczna",320018.5,"3. drogie"
"626",3,111,11486,2007,4,5,"Stare Miasto",1274946,"4. bardzo drogie"
"627",3,60.2,5648,1970,4,4,"Fabryczna",340009.6,"2. tanie"
"628",2,50.45,5770,2017,6,9,"Srodmiescie",291096.5,"2. tanie"
"629",3,90.28,5815,2008,1,6,"Psie Pole",524978.2,"3. drogie"
"630",3,58.86,5800,2016,0,0,"Fabryczna",341388,"3. drogie"
"631",2,50.6,5632,2000,1,2,"Krzyki",284979.2,"2. tanie"
